beer_name,brewery,country,production_date
mobius,absztyfikant,Poland,2017
rowing_jack,alebrowar,Poland,2017
shake_the_world,alebrowar,Poland,2017
hula_hop,alebrowar,Poland,2017
salty_barbara,alebrowar,Poland,2017
lady_blanche_gray,alebrowar,Poland,2017
naked_mummy,alebrowar,Poland,2017
be_like_mitch,alebrowar,Poland,2017
king_of_hop,alebrowar,Poland,2017
lady_blanche_white,alebrowar,Poland,2018
el_fruttato,alebrowar,Poland,2019
golden_monk,alebrowar,Poland,2017
ortodok,alebrowar,Poland,2019
kiss_the_beast,alebrowar,Poland,2019
hop_sasa,alebrowar,Poland,2017
ris_in_peace_z_wędzonym_słodem,alebrowar,Poland,2018
ris_in_peace_śliwka,alebrowar,Poland,2017
johannes,amber,Poland,2017
Żywe,amber,Poland,2017
apa,amber,Poland,2016
koźlak,amber,Poland,2017
złote_lwy,amber,Poland,2016
grand,amber,Poland,2017
pszeniczniak,amber,Poland,2017
czarny_bez,amber,Poland,2017
pszeniczniak_v2,amber,Poland,2017
po_godzinach_-_apple_wheat,amber,Poland,2016
po_godzinach_-_barely_wine,amber,Poland,2017
po_godzinach_-_saison_na_madagaskar,amber,Poland,2017
po_godzinach_-_marcowe,amber,Poland,2017
po_godzinach_-_ipl,amber,Poland,2017
po_godzinach_-_cherry_milk_stout,amber,Poland,2017
po_godzinach_-_hippyskus,amber,Poland,2018
po_godzinach_-_rabarbeer,amber,Poland,2020
po_godzinach_-_double_ipa,amber,Poland,2019
po_godzinach_-_bezalkoholowe,amber,Poland,2019
po_godzinach_-_Śliwka_na_bocku,amber,Poland,2019
po_godzinach_-_summer_end_ale,amber,Poland,2019
kopernik,amber,Poland,2017
amber_naturalny,amber,Poland,2017
antybiotyk,antybrowar,Poland,2016
antylopa,antybrowar,Poland,2016
antypasti,antybrowar,Poland,2016
antykwariat,antybrowar,Poland,2016
propaganda,antybrowar,Poland,2016
prokreacja,antybrowar,Poland,2016
proporcja,antybrowar,Poland,2016
proca,antybrowar,Poland,2016
prosiak,antybrowar,Poland,2016
promocja,antybrowar,Poland,2016
białe_ipa,artezan,Poland,2017
cymbopogon,artezan,Poland,2017
czarna_wołga,artezan,Poland,2017
mera,artezan,Poland,2017
bałwan,artezan,Poland,2017
vi,artezan,Poland,2018
chociaż_tyle,artezan,Poland,2019
witam,artezan,Poland,2019
owoce_wspierają_kraft,artezan,Poland,2018
w_szkole_byłem_mistrzem_pingla,artezan,Poland,2017
pacific,artezan,Poland,2017
session_ipa,baba_jaga,Poland,2017
session_ipa_cranberry,baba_jaga,Poland,2017
chmielarka_oktawa_polskie_pale_ale,baba_jaga,Poland,2016
hoporaptus,baba_jaga,Poland,2016
ouatmeal_stout,bastion,Poland,2018
"american_wheat-brzoskw,_mango,_jalap",bastion,Poland,2018
vermont_ipa,bastion,Poland,2018
american_pale_ale,bastion,Poland,2018
vermont_ipa_v2,bastion,Poland,2018
saison_polish_ipa,bastion,Poland,2018
czarna_mańka,bazyliszek,Poland,2017
złota_kaczka,bazyliszek,Poland,2017
american_psycho_ipa,bazyliszek,Poland,2017
chmieloniada,bazyliszek,Poland,2017
loco_loco,beer_bros,Poland,2016
hopsztos,beer_bros,Poland,2018
kwassiflora,beer_bros,Poland,2017
wahacz,beer_bros,Poland,2018
siemango,beer_bros,Poland,2018
krak,beer_city,Poland,2018
mnisze,benedictus_memes,Poland,2018
szafarza,benedictus_memes,Poland,2018
tynieckie,benedictus_memes,Poland,2019
powdermam,birbant,Poland,2017
old_ale,birbant,Poland,2017
10_hops,birbant,Poland,2017
red_aipa,birbant,Poland,2017
jamarillo,birbant,Poland,2017
jules,birbant,Poland,2018
sensei,birbant,Poland,2017
dr_ipa,birbant,Poland,2018
abw,birbant,Poland,2018
atomic_lucy,birbant,Poland,2018
bara_cuda,birbant,Poland,2018
hops_bant-_citra_ipa,birbant,Poland,2017
hops_bant-milkshake,birbant,Poland,2017
hops_bant-fresh_ipa,birbant,Poland,2017
klasyczny_weizen,birbant,Poland,2018
hamerica,birbant,Poland,2017
ris,birbant,Poland,2016
bolek,bk,Poland,2018
kaczor,bk,Poland,2018
boss_mocny_black,boss,Poland,1995
boss_mocny_green,boss,Poland,1995
boss_mocny_black_small,boss,Poland,1995
california_,brodacz,Poland,2019
primavera,brodacz,Poland,2018
fruttato,brodacz,Poland,2019
lighthouse,brodacz,Poland,2020
sunset,brodacz,Poland,2020
bryza,brodacz,Poland,2020
playground_grapefruit&rosemary_apa,brodacz,Poland,2019
playground_ddh_neipa_simcoe+citra,brodacz,Poland,2019
playground_ddh_neipa_simcoe_+mosaic,brodacz,Poland,2019
the_waiter,brokreacja,Poland,2016
the_alchemist,brokreacja,Poland,2017
the_nurse,brokreacja,Poland,2017
the_dealer,brokreacja,Poland,2017
the_lumberjack,brokreacja,Poland,2016
the_miner,brokreacja,Poland,2017
the_dancer,brokreacja,Poland,2017
the_teacher,brokreacja,Poland,2017
the_barber,brokreacja,Poland,2018
the_actor,brokreacja,Poland,2018
the_butcher,brokreacja,Poland,2018
fuck_the_boundaries,brokreacja,Poland,2018
wine_cake,brokreacja,Poland,2017
corripa,brokreacja,Poland,2019
santa_brewer_2017,brokreacja,Poland,2017
certain_death,brokreacja,Poland,2017
the_gravedigger_bowmore_ba,brokreacja,Poland,2019
the_gravedigger_laphroaig_10_ba,brokreacja,Poland,2019
the_gravedigger_bourbon_ba,brokreacja,Poland,2019
wielka_ipa,broszka,Poland,2018
fuck_diet,browanza,Poland,2018
la_siesta,browars,Poland,2017
fakir,browars,Poland,2017
jaśnie_pian,browars,Poland,2017
hopin,browars,Poland,2017
koala,browars,Poland,2017
one_hop,browars,Poland,2018
japan_san,browars,Poland,2019
piwo_limanowskie_ale,browars,Poland,2017
_piwo_limanowskie_lager,browars,Poland,2018
piwo_limanowskie_marcowe,browars,Poland,2018
piwo_limanowskie_pszeniczne,browars,Poland,2018
galicyjskie_lager,browars,Poland,2018
lager,browars,Poland,2019
ale,browars,Poland,2019
pilzner,browars,Poland,2019
tatrzańskie_lager,browars,Poland,2020
chochołowskie_jasne,browars,Poland,2019
koledzy_przyszli,browincja,Poland,2018
dobry_początek,browincja,Poland,2018
pszeniczne,bytów,Poland,2018
janse_pełne,bytów,Poland,2019
pszeniczne_z_kolendrą,bytów,Poland,2019
truskawkowe_smaki_ogrodu,bytów,Poland,2017
malinowe_smaki_ogrodu,bytów,Poland,2018
polka_pils,bytów,Poland,2017
pierogarnia_o.mandu-korzenne,bytów,Poland,2017
